City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
131,Bambous Virieux,MU,-20.34,57.76,70.0,88,75,4.7,shower rain
132,Bubaque,GW,11.28,-15.83,84.94,76,65,13.96,light rain
133,Klaipeda,LT,55.72,21.12,48.2,100,90,6.93,overcast clouds
134,Haines Junction,CA,60.75,-137.51,8.6,60,62,2.24,broken clouds
135,Thompson,CA,55.74,-97.86,14.0,92,90,4.0,light snow
136,Upata,VE,8.01,-62.4,74.16,92,23,3.6,few clouds
137,Jamestown,US,42.1,-79.24,60.8,51,1,9.17,clear sky
138,Fuyu,CN,45.18,124.82,29.82,85,0,6.31,clear sky
139,Avera,US,33.19,-82.53,71.6,68,1,5.82,clear sky
140,Ishigaki,JP,24.34,124.16,78.8,100,75,8.05,broken clouds
141,Tura,IN,25.52,90.22,61.68,95,0,4.38,clear sky
142,Avarua,CK,-21.21,-159.78,77.0,78,80,10.29,broken clouds
143,Chara,RU,56.91,118.26,7.92,86,98,2.64,overcast clouds
144,Vostok,RU,46.49,135.88,31.05,99,84,4.9,broken clouds
145,Jiazi,CN,22.88,116.07,71.26,67,69,6.15,broken clouds
146,Maragogi,BR,-9.01,-35.22,77.92,84,50,9.91,light rain
147,Falam,MM,22.92,93.68,53.28,100,9,0.36,clear sky
148,Marathon,US,44.9,-89.77,66.2,45,1,11.41,clear sky
149,Muriti,TZ,-1.98,32.92,73.51,75,97,11.92,moderate rain
150,Lata,PT,40.16,-8.33,57.99,91,100,4.59,overcast clouds
151,Yaan,NG,7.38,8.57,75.97,51,7,3.87,clear sky
152,Maneadero,MX,31.72,-116.57,69.01,85,76,5.01,broken clouds
153,Torbay,CA,47.67,-52.73,52.0,93,90,28.86,light intensity drizzle
154,Kapaa,US,22.08,-159.32,82.4,78,20,11.41,few clouds
155,Port Hardy,CA,50.7,-127.42,46.4,61,40,13.87,scattered clouds
156,Sept-Iles,CA,50.2,-66.38,37.0,93,99,3.36,moderate rain
157,Bratsk,RU,56.13,101.61,8.6,92,40,2.24,light shower snow
158,Bethel,US,41.37,-73.41,62.6,51,1,5.53,clear sky
159,Puerto Ayora,EC,-0.74,-90.35,71.01,74,53,4.0,broken clouds
160,Itoman,JP,26.12,127.67,77.0,94,20,3.36,few clouds
161,Beian,NO,63.66,9.57,51.8,76,75,16.11,broken clouds
162,Chimoio,MZ,-19.12,33.48,73.4,100,0,3.36,clear sky
163,Peniche,PT,39.36,-9.38,59.0,88,91,8.01,light rain
164,Onega,RU,63.91,38.14,36.61,95,97,11.01,light rain
165,Kailua,US,21.4,-157.74,82.4,65,75,11.41,light rain
166,Chicama,PE,-7.84,-79.15,66.2,72,8,9.17,clear sky
167,Faanui,PF,-16.48,-151.75,79.86,80,99,19.13,overcast clouds
168,Souillac,MU,-20.52,57.52,69.8,88,75,4.7,shower rain
169,Iqaluit,CA,63.75,-68.51,3.2,71,75,31.09,broken clouds
170,Dunedin,NZ,-45.87,170.5,59.0,67,22,11.99,few clouds
171,Shache,CN,38.42,77.24,30.56,87,0,1.52,clear sky
172,Lagoa,PT,39.05,-27.98,60.1,77,91,30.82,light rain
173,Tarogong,ID,-7.19,107.89,69.66,86,100,2.73,overcast clouds
174,Chissamba,AO,-12.17,17.33,64.54,81,50,2.3,scattered clouds
175,Mendoza,AR,-32.89,-68.83,82.4,21,40,5.82,scattered clouds
176,Norman Wells,CA,65.28,-126.83,5.0,92,75,4.7,broken clouds
177,Talnakh,RU,69.49,88.4,8.6,71,0,17.9,clear sky
178,Port Lincoln,AU,-34.73,135.87,57.92,67,67,14.14,broken clouds
179,Peterborough,GB,52.57,-0.25,39.2,93,8,6.93,mist
180,High Level,CA,58.52,-117.14,12.2,72,75,4.7,broken clouds
181,Narsaq,GL,60.92,-46.05,26.6,92,100,9.24,light snow
182,Fredonia,US,42.44,-79.33,62.6,51,1,8.05,clear sky
183,Belfort,FR,47.63,6.87,46.4,87,0,3.36,clear sky
184,Acari,PE,-15.43,-74.62,68.31,60,32,4.81,scattered clouds
185,Anadyr,RU,64.75,177.48,26.6,92,90,15.66,light shower snow
186,Micheweni,TZ,-4.97,39.83,78.28,80,19,5.5,few clouds
187,Samarai,PG,-10.62,150.67,82.31,78,11,6.24,light rain
188,Almeirim,BR,-1.52,-52.58,78.24,83,86,3.24,moderate rain
189,Mount Gambier,AU,-37.83,140.77,53.6,71,90,9.17,overcast clouds
190,Viedma,AR,-40.81,-63.0,55.99,76,0,1.99,clear sky
191,Hasaki,JP,35.73,140.83,51.8,93,75,2.24,broken clouds
192,Tiksi,RU,71.69,128.87,-0.63,94,96,3.04,overcast clouds
193,Gejiu,CN,23.31,103.16,49.84,100,64,2.42,broken clouds
194,Hirara,JP,24.8,125.28,77.0,94,40,6.93,scattered clouds
195,Drumheller,CA,51.46,-112.71,42.8,62,100,1.12,overcast clouds
196,Urusha,RU,54.05,122.9,18.16,97,100,3.87,light snow
197,Isoka,ZM,-10.16,32.63,65.37,48,0,1.39,clear sky
198,Wanning,CN,18.8,110.4,71.67,76,40,6.85,scattered clouds
199,Pevek,RU,69.7,170.31,20.39,96,100,15.82,overcast clouds
200,Tsumeb,NA,-19.23,17.72,78.3,15,0,14.09,clear sky
201,Kavieng,PG,-2.57,150.8,84.36,76,100,12.8,overcast clouds
202,Komsomolets,KZ,53.75,62.07,42.44,62,100,14.27,overcast clouds
203,Aklavik,CA,68.22,-135.01,14.0,85,75,5.82,broken clouds
