City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
100,Sharjah,AE,77.0,clear sky,25.36,55.4,Swiss Belhotel Sharjah
104,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
109,San Cristobal,VE,78.8,shower rain,7.77,-72.22,Pirineos
110,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
112,Ibimirim,BR,83.16,scattered clouds,-8.54,-37.69,Pousada Casa Grande
114,Dzilam Gonzalez,MX,77.68,overcast clouds,21.28,-88.93,Amina
115,San Patricio,US,78.8,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
116,Adrar,MR,82.38,broken clouds,20.5,-10.07,
121,Port Blair,IN,80.64,clear sky,11.67,92.75,Fortune Resort Bay Island
122,Ndele,CF,75.24,broken clouds,8.41,20.65,
124,Caucaia,BR,81.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
125,Tombouctou,ML,84.51,overcast clouds,20.0,-3.0,
126,Atar,MR,86.43,overcast clouds,20.52,-13.05,Oumou Elghoura
127,Lamu,KE,77.0,clear sky,-2.27,40.9,Lamu House
132,Bubaque,GW,84.94,light rain,11.28,-15.83,"Casa Dora, Bubaque"
140,Ishigaki,JP,78.8,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
142,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
146,Maragogi,BR,77.92,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
151,Yaan,NG,75.97,clear sky,7.38,8.57,
154,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
160,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
165,Kailua,US,82.4,light rain,21.4,-157.74,Sheffield House Bed & Breakfast
167,Faanui,PF,79.86,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Mendoza,AR,82.4,scattered clouds,-32.89,-68.83,Hotel Mendoza
186,Micheweni,TZ,78.28,few clouds,-4.97,39.83,
187,Samarai,PG,82.31,light rain,-10.62,150.67,Nuli Sapi
188,Almeirim,BR,78.24,moderate rain,-1.52,-52.58,Ricácio Hotel
194,Hirara,JP,77.0,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
200,Tsumeb,,78.3,clear sky,-19.23,17.72,TeaterHuis Guest House
201,Kavieng,PG,84.36,overcast clouds,-2.57,150.8,Nusa Island Retreat
205,Lethem,GY,82.04,moderate rain,3.38,-59.8,Savannah Inn
211,Taoudenni,ML,81.95,broken clouds,22.68,-3.98,
214,Bonthe,SL,79.11,light rain,7.53,-12.51,Bonthe Holiday Village
215,Alugan,PH,79.56,very heavy rain,12.22,125.48,JM Lodge
216,North Platte,US,84.2,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
217,Grand-Lahou,CI,78.91,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
222,Savannah Bight,HN,80.6,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
227,Nishihara,JP,77.0,clear sky,26.18,127.76,Minshuku Agaihama
229,Inhambane,MZ,78.24,clear sky,-23.86,35.38,Oceano
230,Manyana,BW,75.52,scattered clouds,-23.4,21.72,
231,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
234,Port-Gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
237,Takoradi,GH,78.78,overcast clouds,4.88,-1.76,Raybow International Hotel
249,Grand-Santi,GF,75.49,light rain,4.25,-54.38,Hotel La Villa Couacou
252,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
254,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
257,Trairi,BR,80.19,few clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
261,Eyl,SO,75.69,scattered clouds,7.98,49.82,Amiin Hotel
266,Niamey,NE,82.4,clear sky,13.51,2.11,Soluxe Hotel Niamey
269,Ondjiva,AO,77.02,broken clouds,-17.07,15.73,SOS Motel
270,Chiredzi,ZW,80.8,clear sky,-21.05,31.67,The Nesbitt Arms
272,Vao,NC,75.16,clear sky,-22.67,167.48,Hotel Kou-Bugny
289,Boffa,GN,78.48,light rain,10.17,-14.03,Hôtel Niara Belly
290,Pilar,BR,77.0,broken clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
292,Parana,AR,79.0,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
296,Mahajanga,MG,77.0,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
300,Tautira,PF,86.0,broken clouds,-17.73,-149.15,Pension Oaoa
301,Santiago Del Estero,AR,84.0,clear sky,-27.8,-64.26,Hotel Urbano
304,Vila Do Maio,CV,78.8,clear sky,15.13,-23.22,Residence 'I Delfini'
308,Paracuru,BR,81.0,scattered clouds,-3.41,-39.03,Hotel Vento Brasil
309,Benguela,AO,77.97,broken clouds,-12.58,13.41,Hotel Praia Morena
311,Livramento,BR,84.2,light rain,-3.03,-60.18,ArteNamata
312,Rundu,,76.59,clear sky,-17.93,19.77,Millennia Estate
318,Abu Dhabi,AE,77.0,clear sky,24.47,54.37,Beach Rotana
319,Poum,NC,78.22,clear sky,-20.23,164.02,Gîte kajeon
324,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
327,Hukuntsi,BW,76.41,clear sky,-24.0,21.75,Entabeni Hotel
334,Quelimane,MZ,80.6,few clouds,-17.88,36.89,Hotel Flamingo
335,Diebougou,BF,81.19,few clouds,10.97,-3.25,Hotel Le Consulat
338,Khartoum,SD,77.0,clear sky,15.55,32.53,Hotel China
339,Gondanglegi,ID,77.16,few clouds,-7.75,112.01,Gg. Munasir Homestay
340,Bonfim,BR,84.34,moderate rain,3.08,-59.95,
342,Auki,SB,84.0,light rain,-8.77,160.7,Auki Motel
343,Matamoros,MX,78.8,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
345,Tahoua,NE,80.6,clear sky,14.89,5.27,Bungalows Guesthouse
356,Sao Jose Da Coroa Grande,BR,78.26,light rain,-8.9,-35.15,Crôa Mares Hotel
358,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
359,Ixtapa,MX,82.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
361,Yaguajay,CU,75.97,light rain,22.33,-79.24,Hostal Idalmis y José Luis
363,Mazamari,PE,79.5,broken clouds,-11.33,-74.53,Hospedaje Ratto
